Stock Index,Stock Price
AC3235,778.2031
AC3236,252.18552
AC3237,1536.0255
AC3238,820.1371
AC3239,263.068
AC3240,370.56927
AC3241,692.86304
AC3242,905.6907
AC3243,889.98285
AC3244,1374.6705
AC3245,304.72278
AC3246,403.2703
AC3247,768.74554
AC3248,176.64482
AC3249,142.28938
AC3250,247.63605
AC3251,1763.1235
AC3252,126.51308
AC3253,278.45743
AC3254,169.66034
AC3255,1010.4424
AC3256,840.4638
AC3257,1525.5339
AC3258,479.38486
AC3259,248.94905
AC3260,271.29626
AC3261,112.35419
AC3262,235.24864
AC3263,372.85715
AC3264,108.52264
AC3265,1059.054
AC3266,882.77814
AC3267,555.1687
AC3268,744.64044
AC3269,382.03058
AC3270,828.5492
AC3271,103.87538
AC3272,381.7646
AC3273,879.2772
AC3274,634.5133
AC3275,476.8875
AC3276,699.15344
AC3277,1015.6142
AC3278,981.7975
AC3279,198.90524
AC3280,418.71005
AC3281,873.1593
AC3282,126.01335
AC3283,784.7317
AC3284,599.5821
AC3285,103.74094
AC3286,858.0018
AC3287,183.14449
AC3288,206.71136
AC3289,148.8284
AC3290,193.34036
AC3291,181.17412
AC3292,86.67627
AC3293,473.56128
AC3294,191.16103
AC3295,577.9611
AC3296,105.91474
AC3297,576.8026
AC3298,785.9657
AC3299,95.35488
AC3300,103.76163
AC3301,808.87256
AC3302,130.82098
AC3303,1237.7346
AC3304,53.87757
AC3305,271.2951
AC3306,155.76413
AC3307,46.122883
AC3308,149.51727
AC3309,269.87183
AC3310,806.457
AC3311,1105.3867
AC3312,879.29694
AC3313,44.8058
AC3314,82.395996
AC3315,113.38849
AC3316,400.7751
AC3317,974.09216
AC3318,548.0343
AC3319,1174.707
AC3320,41.282043
AC3321,113.14104
AC3322,86.458786
AC3323,852.8656
AC3324,104.36388
AC3325,268.2676
AC3326,377.17432
AC3327,87.38757
AC3328,110.680824
AC3329,715.4431
AC3330,907.76337
AC3331,267.18045
AC3332,776.02905
AC3333,1441.3176
AC3334,305.92944
AC3335,620.0859
AC3336,136.81676
AC3337,592.9127
AC3338,1726.7527
AC3339,823.3638
AC3340,100.72271
AC3341,1227.5996
AC3342,1202.324
AC3343,281.59924
AC3344,93.981674
AC3345,216.73462
AC3346,95.78259
AC3347,258.58035
AC3348,658.2039
AC3349,488.35516
AC3350,134.42014
AC3351,800.3689
AC3352,66.488464
AC3353,352.79535
AC3354,259.40466
AC3355,645.40015
